;; -*- coding: utf-8 -*--
a-ba-ga-qi-wei-dang-xiao 阿巴嘎旗委党校
bei-jing-gong-ye-zhi-ye-ji-shu-xue-yuan 北京工业职业技术学院
bei-jing-guang-bo-dian-shi-da-xue 北京广播电视大学
bei-jing-guo-ji-gong-shang-guan-li-xue-yuan 北京国际工商管理学院
bei-jing-guo-ji-jin-rong-zhuan-xiu-xue-yuan 北京国际金融专修学院
bei-jing-guo-ji-jing-mao-yan-xiu-xue-yuan 北京国际经贸研修学院
bei-jing-guo-ji-shang-wu-xue-yuan 北京国际商务学院
bei-jing-han-lin-zhi-ye-xue-yuan 北京瀚林职业学院
bei-jing-hang-kong-hang-tian-da-xue 北京航空航天大学
bei-jing-hua-da-yan-xiu-xue-yuan 北京华大研修学院
bei-jing-hua-gong-da-xue 北京化工大学
bei-jing-hua-gong-ju-zhi-gong-da-xue 北京化工局职工大学
bei-jing-hua-wen-xue-yuan 北京华文学院
bei-jing-hua-xia-guan-li-xue-yuan 北京华夏管理学院
bei-jing-huai-rou-qu-dang-xiao 北京怀柔区党校
bei-jing-huai-rou-qu-xing-zheng-xue-xiao 北京怀柔区行政学校
bei-jing-huang-pu-da-xue 北京黄埔大学
bei-jing-hui-jia-zhi-ye-xue-yuan 北京汇佳职业学院
bei-jing-ji-li-da-xue 北京吉利大学
bei-jing-ji-xie-gong-cheng-xue-yuan 北京机械工程学院
bei-jing-ji-xie-gong-ye-xue-yuan 北京机械工业学院
bei-jing-jian-gong-xue-yuan 北京建工学院
bei-jing-jian-she-da-xue 北京建设大学
bei-jing-jian-zhu-da-xue 北京建筑大学
bei-jing-jian-zhu-gong-cheng-xue-yuan 北京建筑工程学院
bei-jing-jiao-tong-da-xue 北京交通大学
bei-jing-jiao-tong-guan-li-gan-bu-xue-yuan 北京交通管理干部学院
bei-jing-jiao-tong-zhi-ye-ji-shu-xue-yuan 北京交通职业技术学院
bei-jing-jiao-yu-xue-yuan 北京教育学院
bei-jing-jin-rong-xue-yuan 北京金融学院
bei-jing-jing-bei-zhi-ye-ji-shu-xue-yuan 北京京北职业技术学院
bei-jing-jing-cha-xue-yuan 北京警察学院
bei-jing-jing-hai-yan-xiu-xue-yuan 北京京海研修学院
bei-jing-jing-ji-guan-li-gan-bu-xue-yuan 北京经济管理干部学院
bei-jing-jing-ji-guan-li-zhi-ye-xue-yuan 北京经济管理职业学院
